time(ms), dt, force, posX, rawPosX, posXDeg, velX (rad/s)
1438, 2, 10000, -1366, 7072, -61.499725, 0.000000
1440, 2, 10000, -1348, 7087, -60.675701, 7.190974
1442, 2, 10000, -1332, 7100, -59.961544, 6.232177
1444, 2, 10000, -1315, 7114, -59.192455, 6.711576
1446, 2, 10000, -1297, 7129, -58.368431, 7.190974
1448, 2, 10000, -1281, 7142, -57.654274, 6.232177
1450, 2, 10000, -1265, 7155, -56.940121, 6.232177
1452, 2, 10000, -1248, 7169, -56.171032, 6.711576
1454, 2, 10000, -1231, 7183, -55.401939, 6.711576
1456, 2, 10000, -1215, 7196, -54.687786, 6.232177
1457, 1, 10000, -1198, 7210, -53.918697, 13.423151
1459, 2, 10000, -1181, 7224, -53.149605, 6.711576
1460, 1, 10000, -1162, 7239, -52.325581, 14.381948
1462, 2, 10000, -1145, 7253, -51.556492, 6.711576
1464, 2, 10000, -1127, 7268, -50.732468, 7.190974
1466, 2, 10000, -1109, 7283, -49.908443, 7.190974
1468, 2, 10000, -1091, 7297, -49.139351, 6.711576
1470, 2, 10000, -1073, 7312, -48.315327, 7.190974
1472, 2, 10000, -1056, 7326, -47.546238, 6.711576
1474, 2, 10000, -1038, 7341, -46.722214, 7.190974
1476, 2, 10000, -1019, 7356, -45.898186, 7.190974
1481, 5, 10000, -984, 7385, -44.305073, 5.561019
1483, 2, 10000, -965, 7401, -43.426113, 7.670372
1485, 2, 10000, -945, 7417, -42.547153, 7.670372
1487, 2, 10000, -925, 7433, -41.668194, 7.670372
1489, 2, 10000, -907, 7448, -40.844170, 7.190974
1490, 1, 10000, -889, 7463, -40.020142, 14.381948
1492, 2, 10000, -871, 7478, -39.196117, 7.190974
1494, 2, 10000, -851, 7494, -38.317158, 7.670372
1496, 2, 10000, -851, 7494, -38.317158, 0.000000
1498, 2, 10000, -833, 7509, -37.493134, 7.190974
1499, 1, 10000, -816, 7523, -36.724045, 13.423151
1501, 2, 10000, -797, 7538, -35.900017, 7.190974
1503, 2, 10000, -779, 7553, -35.075993, 7.190974
1505, 2, -10000, -761, 7568, -34.251968, 7.190974
1507, 2, -10000, -741, 7584, -33.373009, 7.670372
1508, 1, -10000, -723, 7599, -32.548985, 14.381948
1510, 2, -10000, -704, 7614, -31.724958, 7.190974
1512, 2, -10000, -686, 7629, -30.900934, 7.190974
1514, 2, -10000, -665, 7646, -29.967039, 8.149770
1516, 2, -10000, -647, 7661, -29.143015, 7.190974
1521, 5, -10000, -613, 7689, -27.604834, 5.369260
1523, 2, -10000, -602, 7698, -27.110420, 4.314584
1525, 2, -10000, -593, 7705, -26.725874, 3.355788
1527, 2, -10000, -585, 7712, -26.341330, 3.355788
1528, 1, -10000, -581, 7715, -26.176525, 2.876390
1530, 2, -10000, -578, 7718, -26.011719, 1.438195
1532, 2, -10000, -578, 7718, -26.011719, 0.000000
1533, 1, -10000, -574, 7721, -25.846914, 2.876390
1535, 2, -10000, -574, 7721, -25.846914, 0.000000
